user,CPU1 Temp,CPU2 Temp,Inlet Temp,Memory usage,Fan1 speed,Fan2 speed,Fan3 speed,Fan4 speed,Power consumption
ipandey,84,52,16,46.97,10010,10010,9870,9870,162.5
fmolajaf,66,49,14,31.53,11970,12040,11970,11970,153
fmolajaf,57,43,13,31.08,11060,10920,10920,10920,154.5
fmolajaf,56,49,9,32.44,9660,9800,9870,9870,156
fmolajaf,68,53,9,31.17,9380,9450,9380,9450,159
fmolajaf,79,51,9,32.29,9870,9590,9870,9590,166
fmolajaf,76,61,15,52.27,9310,8890,9310,8890,169
fmolajaf,72,54,16,39.45,11130,11130,11130,11130,165.5
fmolajaf,77,55,9,33.28,9100,9380,9450,9310,159
fmolajaf,80,59,17,40.04,9310,9310,9310,9310,162
fmolajaf,60,51,10,34.96,9310,9310,9310,9310,162.5
fmolajaf,74,61,10,32.28,9100,8750,9310,8750,155
fmolajaf,73,47,10,38.3,10430,10430,10430,10430,158
fmolajaf,75,61,10,38.93,9170,9380,9170,9380,164
fmolajaf,74,51,9,34.96,8470,8540,8330,8540,154
fmolajaf,79,48,9,39.86,9870,10430,9800,10430,155.5
fmolajaf,76,72,9,34.53,10010,10010,10080,10080,174.5
fmolajaf,72,47,9,31.63,10220,10290,10290,10220,152.5
nwijaya,40,31,10,3.51,8260,8260,8120,8260,70
nwijaya,37,32,10,3.42,9170,9170,9100,9170,72
nwijaya,50,38,11,4.99,6160,6160,6160,6160,74.5
nwijaya,41,33,9,9.78,9170,9170,9170,9100,66
nwijaya,42,36,15,3.2,8890,8890,8960,8890,70
nwijaya,35,25,9,7.77,10850,10850,10920,10850,70.5
lediaz,67,40,9,16.3,9450,9450,9380,9450,129
lediaz,69,55,15,18.41,8890,8890,8890,8890,133
lediaz,43,34,11,16.69,5740,5740,5740,5740,60.5
lediaz,67,48,10,19.29,8470,8540,8470,8540,133.5
lediaz,66,39,9,18.87,9310,9380,9310,9310,127.5
lediaz,58,56,12,24.9,9380,9380,9380,9380,135
juandomi,45,59,9,22.58,8680,8540,8540,8540,119.5
juandomi,73,56,10,9.38,8330,8540,8330,8330,166
juandomi,57,50,12,9.36,9590,9450,9590,9590,122.5
juandomi,61,53,11,11.81,8540,8540,8540,8540,165
wan39502,66,59,9,9.6,9450,9450,9590,9450,165.5
wan39502,62,49,9,5.4,9310,9310,9170,9170,161
wan39502,66,56,11,9.74,8050,8120,8050,8050,158.5
wan39502,71,50,11,7.31,9380,9450,9450,9450,157
daray,41,34,13,34.53,8750,8750,8890,8750,72
qiu25856,41,34,13,34.53,8750,8750,8890,8750,72
tobollin,47,36,17,22.92,8680,8750,8750,8680,91.5
abkenyon,47,36,17,22.92,8680,8750,8750,8680,91.5
johruska,62,49,9,16.64,5950,5880,5950,5950,82.5
johruska,42,32,9,49.97,8890,9170,8890,9170,81.5
johruska,40,33,9,24.97,9380,9450,9450,9450,85.5
johruska,43,35,12,39.03,8120,8050,8050,8050,82
johruska,41,34,13,34.53,8750,8750,8890,8750,72
johruska,47,36,17,22.92,8680,8750,8750,8680,91.5
johruska,44,37,12,9.47,9170,9170,9170,9170,84.5
johruska,38,31,9,26.77,10220,10220,10290,10220,83.5
johruska,37,28,11,17.93,9310,9380,9380,9380,71
johruska,40,29,9,18.07,8680,8540,8680,8540,74
johruska,44,35,11,14.78,8470,8540,8540,8540,79
johruska,50,40,9,25.4,5880,5880,5950,5880,74
johruska,36,27,13,26.2,12460,12460,12460,12460,73.5
johruska,55,43,9,23,5530,5530,5670,5670,76
johruska,47,39,13,20.24,7840,7910,7910,7910,76
johruska,44,33,10,23.43,8680,8890,8680,8750,77.5
johruska,38,30,14,12.05,9310,9310,9310,9310,71
johruska,35,29,9,16.59,10850,10850,10850,10850,73.5
johruska,0,33,11,22.51,9870,9590,9800,9590,78.5
johruska,34,28,14,24.73,12040,12040,12040,11970,76.5
johruska,37,31,11,25.93,10710,10710,10710,10710,76.5
johruska,36,37,9,31.11,9170,9170,9170,9170,80
johruska,38,31,10,24.02,8960,8960,8960,9170,79.5
johruska,40,31,10,23.59,8470,8470,8540,8540,76
johruska,35,30,10,28.05,10500,10430,10430,10500,76.5
johruska,47,39,13,25.18,7840,7910,7910,7910,82
johruska,55,44,14,23.72,6720,6580,6930,6720,82
johruska,42,36,10,25.08,8470,8330,8330,8330,76
johruska,42,33,9,24.36,8750,8680,8680,8680,80.5
johruska,43,35,11,29.29,8120,8120,8120,8120,77.5
johruska,38,32,10,25.74,8120,8680,8260,8680,79
johruska,45,34,10,34.5,8120,8260,8260,8120,77.5
johruska,44,34,12,23.7,8680,8540,8540,8540,77
johruska,40,37,13,30.54,11060,10920,10920,10920,79.5
johruska,40,32,9,24.04,8540,8540,8540,8680,74
johruska,38,30,9,14.21,8890,9170,8960,8890,74.5
johruska,47,39,11,22.68,6160,6160,6160,6160,79
johruska,66,46,13,24.76,6790,6720,6720,6790,78
